Marca temporal,¿Cómo cree que se relaciona la tasa de suicidios con el nivel de riqueza general de un país? [Países con Nivel Económico Alto (alto PIB/capita)],¿Cómo cree que se relaciona la tasa de suicidios con el nivel de riqueza general de un país? [Países con Nivel Económico Medio],¿Cómo cree que se relaciona la tasa de suicidios con el nivel de riqueza general de un país? [Países con Nivel Económico Bajo],"Según su conocimiento general, ¿cuál de estos grupos de edad tiende a tener la tasa de suicidios más alta?","Si tuviera que estimar, ¿cuál es el porcentaje de población que representan las mujeres en el total de suicidios a nivel global?","Si analizamos los datos a lo largo de las décadas (ej. 1990 vs 2010), ¿cómo percibe el cambio en las tasas de suicidio a nivel mundial?"
11/5/2026 20:21:52,Menor Tasa de Suicidio,Tasa de Suicidio Media,Mayor Tasa de Suicidio,Adultos (25-34 años),3,Han Aumentado Ligeramente
11/5/2026 20:24:56,Mayor Tasa de Suicidio,Tasa de Suicidio Media,Menor Tasa de Suicidio,Adolescentes y Adultos Jóvenes (15-24 años),3,Han Aumentado Ligeramente
11/5/2026 20:26:16,Menor Tasa de Suicidio,Tasa de Suicidio Media,Mayor Tasa de Suicidio,Adolescentes y Adultos Jóvenes (15-24 años),4,Han Aumentado Significativamente
11/5/2026 20:26:19,Menor Tasa de Suicidio,Tasa de Suicidio Media,Tasa de Suicidio Media,Adultos (25-34 años),4,Han Aumentado Significativamente
11/5/2026 20:26:46,Menor Tasa de Suicidio,Tasa de Suicidio Media,Mayor Tasa de Suicidio,Adolescentes y Adultos Jóvenes (15-24 años),4,Han Aumentado Significativamente
11/5/2026 20:27:00,Menor Tasa de Suicidio,Tasa de Suicidio Media,Mayor Tasa de Suicidio,Adultos (25-34 años),4,Han Aumentado Significativamente
11/5/2026 20:27:10,Menor Tasa de Suicidio,Tasa de Suicidio Media,Mayor Tasa de Suicidio,Adultos (25-34 años),4,Han Aumentado Significativamente
11/5/2026 20:27:20,Menor Tasa de Suicidio,Tasa de Suicidio Media,Mayor Tasa de Suicidio,Adultos (25-34 años),4,Han Aumentado Significativamente
11/5/2026 20:27:29,Menor Tasa de Suicidio,Tasa de Suicidio Media,Mayor Tasa de Suicidio,Adolescentes y Adultos Jóvenes (15-24 años),4,Han Aumentado Significativamente
11/5/2026 20:27:40,Menor Tasa de Suicidio,Tasa de Suicidio Media,Tasa de Suicidio Media,Adultos (25-34 años),3,Han Aumentado Significativamente
11/5/2026 20:27:40,Tasa de Suicidio Media,Tasa de Suicidio Media,Tasa de Suicidio Media,Adolescentes y Adultos Jóvenes (15-24 años),3,Han Aumentado Significativamente
11/5/2026 20:27:52,Mayor Tasa de Suicidio,Tasa de Suicidio Media,Menor Tasa de Suicidio,Adultos de Mediana Edad (35-54 años),6,Han Disminuido Ligeramente
11/5/2026 20:28:51,Mayor Tasa de Suicidio,Tasa de Suicidio Media,Mayor Tasa de Suicidio,Adolescentes y Adultos Jóvenes (15-24 años),4,Han Aumentado Ligeramente
11/5/2026 20:45:01,Menor Tasa de Suicidio,Tasa de Suicidio Media,Mayor Tasa de Suicidio,Adolescentes y Adultos Jóvenes (15-24 años),3,Han Aumentado Ligeramente
11/5/2026 20:57:34,Menor Tasa de Suicidio,Tasa de Suicidio Media,Mayor Tasa de Suicidio,Adultos de Mediana Edad (35-54 años),4,Han Aumentado Ligeramente
11/5/2026 21:05:44,Menor Tasa de Suicidio,Tasa de Suicidio Media,Mayor Tasa de Suicidio,Adolescentes y Adultos Jóvenes (15-24 años),2,Han Aumentado Significativamente
11/5/2026 21:14:01,Tasa de Suicidio Media,Mayor Tasa de Suicidio,Tasa de Suicidio Media,Adolescentes y Adultos Jóvenes (15-24 años),6,Han Aumentado Ligeramente
11/5/2026 21:58:00,Tasa de Suicidio Media,Mayor Tasa de Suicidio,Mayor Tasa de Suicidio,Adolescentes y Adultos Jóvenes (15-24 años),7,Han Aumentado Significativamente
11/5/2026 22:01:28,Tasa de Suicidio Media,Mayor Tasa de Suicidio,Tasa de Suicidio Media,Adultos de Mediana Edad (35-54 años),6,Han Aumentado Significativamente
12/5/2026 0:10:50,Tasa de Suicidio Media,Tasa de Suicidio Media,Mayor Tasa de Suicidio,Adolescentes y Adultos Jóvenes (15-24 años),5,Han Aumentado Ligeramente
