country,total_suicides,total_population,avg_gdp_per_capita,tasa_suicidios_100k,categoria_pib,latitude,longitude
Albania,1970,62325467,1859.05,3.16,Bajo,41.153332,20.168331
Antigua and Barbuda,11,1990228,10448.19,0.55,Medio,17.060816,-61.796428
Argentina,82219,1035985431,7914.1,7.94,Medio,-38.416097,-63.616672
Armenia,1905,77348173,1873.92,2.46,Bajo,40.069099,45.038189
Aruba,101,1259677,24221.64,8.02,Alto,12.52111,-69.968338
Australia,70111,542377786,32776.4,12.93,Alto,-25.274398,133.775136
Austria,50073,243853094,34261.78,20.53,Alto,47.516231,14.550072
Azerbaijan,1656,111790300,1005.12,1.48,Bajo,40.143105,47.576927
Bahamas,93,6557048,25836.39,1.42,Alto,25.03428,-77.39628
Bahrain,463,16753926,18039.52,2.76,Medio,25.930414,50.637772
Barbados,177,6213691,12251.0,2.85,Medio,13.193887,-59.543198
Belarus,59892,197372292,3333.9,30.34,Bajo,53.709807,27.953389
Belgium,62761,303302621,32066.74,20.69,Alto,50.503887,4.469936
Belize,348,6289015,4006.46,5.53,Bajo,17.189877,-88.49765
Bosnia and Herzegovina,318,7327481,5077.5,4.34,Bajo,43.915886,17.679076
Brazil,226613,4856093548,6091.48,4.67,Medio,-14.235004,-51.92528
Bulgaria,36388,231939958,3640.43,15.69,Bajo,42.733883,25.48583
Cabo Verde,42,452179,4124.0,9.29,Bajo,16.5388,-23.0418
Canada,107561,826052183,30887.48,13.02,Alto,56.130366,-106.346771
Chile,40895,427625092,7493.06,9.56,Medio,-35.675147,-71.542969
Colombia,53080,1107941966,3708.97,4.79,Bajo,4.570868,-74.297333
Costa Rica,6792,102176788,5149.7,6.65,Medio,9.748917,-83.753428
Croatia,18429,91730351,10355.87,20.09,Medio,45.1,15.2
Cuba,41418,251790133,4351.17,16.45,Bajo,21.521757,-77.781167
Cyprus,412,11607462,27668.22,3.55,Alto,35.126413,33.429859
Czech Republic,43687,264106540,12369.55,16.54,Medio,49.817492,15.472962
Denmark,15297,112182219,49299.91,13.64,Alto,56.26392,9.501785
Dominica,0,66400,1485.0,0.0,Bajo,15.414999,-61.370976
Ecuador,20660,344327990,3286.26,6.0,Bajo,-1.831239,-78.183406
El Salvador,11683,124683698,2550.67,9.37,Bajo,13.794185,-88.89653
Estonia,7034,27090810,11376.1,25.96,Medio,58.595272,25.013607
Fiji,304,8187391,3913.27,3.71,Bajo,-16.578193,179.414413
Finland,33677,141925658,35468.28,23.73,Alto,61.92411,25.748151
France,329127,1670756775,31481.47,19.7,Alto,46.227638,2.213749
Georgia,3224,93598800,1893.14,3.44,Bajo,42.315407,43.356892
Germany,291262,2024875612,35164.23,14.38,Alto,51.165691,10.451526
Greece,12368,316096105,17019.39,3.91,Medio,39.074208,21.824312
Grenada,38,2347286,6209.41,1.62,Medio,12.262776,-61.604171
Guatemala,8149,305357837,2263.53,2.67,Bajo,15.783471,-90.230759
Guyana,3426,16594589,1674.92,20.65,Bajo,4.860416,-58.93018
Hungary,73891,248644256,9370.05,29.72,Medio,47.162494,19.503304
Iceland,1108,8407904,39274.75,13.18,Alto,64.963051,-19.020835
Ireland,12574,109023686,34230.87,11.53,Alto,53.41291,-8.24389
Israel,11294,173071788,23125.45,6.53,Alto,31.046051,34.851612
Italy,132060,1715043704,26602.58,7.7,Alto,41.87194,12.56738
Jamaica,184,39481817,3301.24,0.47,Bajo,18.109581,-77.297508
Japan,806902,3681024844,36397.55,21.92,Alto,36.204824,138.252924
Kazakhstan,101546,377513869,5329.12,26.9,Medio,48.019573,66.923684
Kiribati,53,741606,875.91,7.15,Bajo,-3.370417,-168.734039
Kuwait,966,57109991,27819.0,1.69,Alto,29.31166,47.481766
Kyrgyzstan,13090,115174187,720.73,11.37,Bajo,41.20438,74.766098
Latvia,12770,44852640,8961.1,28.47,Medio,56.879635,24.603189
Lithuania,28039,68085210,9280.55,41.18,Medio,55.169438,23.881275
Luxembourg,1958,12953156,68798.39,15.12,Alto,49.815273,6.129583
Macau,27,346542,18081.0,7.79,Alto,22.198745,113.543873
Maldives,20,2900246,5088.9,0.69,Medio,3.202778,73.22068
Malta,585,11227403,14044.42,5.21,Medio,35.937496,14.375416
Mauritius,3894,33411909,5506.66,11.65,Medio,-20.348404,57.552152
Mexico,111139,2772959159,7138.45,4.01,Medio,23.634501,-102.552784
Mongolia,423,2167589,4145.0,19.51,Bajo,46.862496,103.846656
Montenegro,472,5834863,4195.6,8.09,Bajo,42.708678,19.37439
Netherlands,50833,475361269,35714.67,10.69,Alto,52.132633,5.291266
New Zealand,14383,103090430,22279.48,13.95,Alto,-40.900557,174.885971
Nicaragua,2013,31742633,2028.83,6.34,Bajo,12.865416,-85.207229
Norway,16992,127973087,57319.6,13.28,Alto,60.472024,8.468946
Oman,33,8987087,20740.67,0.37,Alto,21.512583,55.923255
Panama,3483,70265659,6626.52,4.96,Medio,8.537981,-80.782127
Paraguay,4783,124641969,2365.78,3.84,Bajo,-23.442503,-58.443832
Philippines,21330,1065068179,1540.2,2.0,Bajo,12.879721,121.774017
Poland,139098,866180029,8146.46,16.06,Medio,51.919438,19.145136
Portugal,24061,261258816,14176.3,9.21,Medio,39.399872,-8.224454
Puerto Rico,9043,105386625,18352.65,8.58,Alto,18.220833,-66.590149
Qatar,574,21870545,67756.45,2.62,Alto,25.354826,51.183884
Republic of Korea,261730,1354944936,14801.26,19.32,Medio,35.907757,127.766922
Romania,72777,575065963,4791.45,12.66,Bajo,45.943161,24.96676
Russian Federation,1209742,3690802620,6518.81,32.78,Medio,61.52401,105.318756
Saint Kitts and Nevis,0,117300,5525.0,0.0,Medio,17.357822,-62.782998
Saint Lucia,230,3910520,5789.04,5.88,Medio,13.909444,-60.978893
Saint Vincent and Grenadines,124,2437662,4954.64,5.09,Bajo,13.252818,-61.197096
San Marino,4,78825,53663.67,5.07,Alto,43.94236,12.457777
Serbia,24179,126140138,4471.28,19.17,Bajo,44.016521,21.005859
Seychelles,98,1392816,10655.72,7.04,Medio,-4.679574,55.491977
Singapore,10089,94242441,38050.26,10.71,Alto,1.352083,103.819836
Slovakia,13437,111833713,10526.0,12.02,Medio,48.669026,19.699024
Slovenia,10615,40268619,18642.24,26.36,Alto,46.151241,14.995463
South Africa,7321,873130762,5589.5,0.84,Medio,-30.559482,22.937506
Spain,100202,1227661095,20982.16,8.16,Alto,40.463667,-3.74922
Sri Lanka,55641,182525626,904.27,30.48,Bajo,7.873054,80.771797
Suriname,2166,11639269,4351.96,18.61,Bajo,3.919305,-56.027783
Sweden,37795,253297131,41357.58,14.92,Alto,60.128161,18.643501
Switzerland,26217,149994010,62981.76,17.48,Alto,46.818188,8.227512
Thailand,110643,1584800281,3572.16,6.98,Bajo,15.870032,100.992541
Trinidad and Tobago,4039,31243097,8829.04,12.93,Medio,10.691803,-61.222503
Turkey,10131,482640582,12134.29,2.1,Medio,38.963745,35.243322
Turkmenistan,8624,115576818,2618.1,7.46,Bajo,38.969719,59.556278
Ukraine,319950,1286469184,1867.54,24.87,Bajo,48.379433,31.16558
United Arab Emirates,622,36502275,42162.0,1.7,Alto,23.424076,53.847818
United Kingdom,136805,1738767780,31908.35,7.87,Alto,55.378051,-3.435973
United States,1034013,8054027201,39269.61,12.84,Alto,37.09024,-95.712891
Uruguay,13138,84068943,7622.07,15.63,Medio,-32.522779,-55.765835
Uzbekistan,34803,486422532,976.18,7.15,Bajo,41.377491,64.585262
